event_id,season,start_date,end_date,event_name,location,destination_airport,arrival_date,departure_date
28ff9c4d-c3f5-4049-8c2f-84b22a1eb210,2026,2026-02-14,2026-02-15,1st Asian Men's Snow Volleyball Championships,"Hamedan, Iran",IKA,2026-02-12,2026-02-16
47c83757-b6cd-44db-89ff-b600681492b3,2026,2026-04-12,2026-04-15,AVC Beach Tour 25th Samila Open,"Songkhla, Thailand",HDY,2026-04-10,2026-04-16
45aa5227-b88a-4324-b01e-19e69e992844,2026,2026-04-22,2026-04-30,2026 Asian Beach Games,"Sanya, China",SYX,2026-04-20,2026-05-01
92195940-d58f-4581-821c-1b0df4524348,2026,2026-05-13,2026-05-17,Asian U18 Beach Volleyball Championships,TBD,,2026-05-11,2026-05-18
8e68d30d-fd68-43ef-bcb1-31fbaa280e19,2026,2026-06-04,2026-06-07,AVC Beach Tour 2nd Pingtung Open,"Pingtung, Chinese Taipei",KHH,2026-06-02,2026-06-08
8721c1a4-0177-4160-ba96-9667d9a8324c,2026,2026-06-11,2026-06-14,AVC Beach Tour Jizzax Open,"Jizzax, Uzbekistan",TAS,2026-06-09,2026-06-15
